"";"x"
"1";"PRAD"
"2";"KIRC"
"3";"BRCA"
"4";"BRCA"
"5";"LUAD"
"6";"KIRC"
"7";"BRCA"
"8";"BRCA"
"9";"PRAD"
"10";"LUAD"
"11";"KIRC"
"12";"LUAD"
"13";"BRCA"
"14";"LUAD"
"15";"PRAD"
"16";"BRCA"
"17";"BRCA"
"18";"LUAD"
"19";"KIRC"
"20";"BRCA"
"21";"COAD"
"22";"KIRC"
"23";"COAD"
"24";"PRAD"
"25";"BRCA"
"26";"LUAD"
"27";"LUAD"
"28";"LUAD"
"29";"BRCA"
"30";"KIRC"
"31";"KIRC"
"32";"COAD"
"33";"LUAD"
"34";"PRAD"
"35";"COAD"
"36";"COAD"
"37";"KIRC"
"38";"BRCA"
"39";"BRCA"
"40";"PRAD"
"41";"BRCA"
"42";"BRCA"
"43";"KIRC"
"44";"BRCA"
"45";"COAD"
"46";"KIRC"
"47";"LUAD"
"48";"KIRC"
"49";"PRAD"
"50";"BRCA"
"51";"BRCA"
"52";"BRCA"
"53";"KIRC"
"54";"KIRC"
"55";"BRCA"
"56";"PRAD"
"57";"BRCA"
"58";"PRAD"
"59";"LUAD"
"60";"COAD"
"61";"BRCA"
"62";"PRAD"
"63";"BRCA"
"64";"PRAD"
"65";"PRAD"
"66";"BRCA"
"67";"BRCA"
"68";"LUAD"
"69";"PRAD"
"70";"LUAD"
"71";"KIRC"
"72";"KIRC"
"73";"PRAD"
"74";"LUAD"
"75";"BRCA"
"76";"BRCA"
"77";"BRCA"
"78";"LUAD"
"79";"COAD"
"80";"BRCA"
"81";"PRAD"
"82";"PRAD"
"83";"KIRC"
"84";"KIRC"
"85";"BRCA"
"86";"BRCA"
"87";"KIRC"
"88";"BRCA"
"89";"PRAD"
"90";"LUAD"
"91";"KIRC"
"92";"LUAD"
"93";"BRCA"
"94";"BRCA"
"95";"BRCA"
"96";"KIRC"
"97";"BRCA"
"98";"LUAD"
"99";"BRCA"
"100";"PRAD"
"101";"BRCA"
"102";"KIRC"
"103";"BRCA"
"104";"BRCA"
"105";"BRCA"
"106";"KIRC"
"107";"KIRC"
"108";"KIRC"
"109";"PRAD"
"110";"KIRC"
"111";"LUAD"
"112";"BRCA"
"113";"LUAD"
"114";"LUAD"
"115";"BRCA"
"116";"LUAD"
"117";"BRCA"
"118";"BRCA"
"119";"BRCA"
"120";"BRCA"
"121";"BRCA"
"122";"KIRC"
"123";"PRAD"
"124";"COAD"
"125";"KIRC"
"126";"LUAD"
"127";"KIRC"
"128";"BRCA"
"129";"KIRC"
"130";"COAD"
"131";"KIRC"
"132";"BRCA"
"133";"BRCA"
"134";"LUAD"
"135";"BRCA"
"136";"KIRC"
"137";"BRCA"
"138";"PRAD"
"139";"LUAD"
"140";"COAD"
"141";"PRAD"
"142";"BRCA"
"143";"KIRC"
"144";"PRAD"
"145";"BRCA"
"146";"BRCA"
"147";"LUAD"
"148";"PRAD"
"149";"LUAD"
"150";"COAD"
"151";"KIRC"
"152";"COAD"
"153";"BRCA"
"154";"LUAD"
"155";"LUAD"
"156";"PRAD"
"157";"BRCA"
"158";"KIRC"
"159";"BRCA"
"160";"BRCA"
"161";"KIRC"
"162";"BRCA"
"163";"BRCA"
"164";"BRCA"
"165";"PRAD"
"166";"COAD"
"167";"COAD"
"168";"KIRC"
"169";"KIRC"
"170";"KIRC"
"171";"PRAD"
"172";"KIRC"
"173";"BRCA"
"174";"BRCA"
"175";"LUAD"
"176";"LUAD"
"177";"BRCA"
"178";"LUAD"
"179";"LUAD"
"180";"KIRC"
"181";"BRCA"
"182";"PRAD"
"183";"LUAD"
"184";"LUAD"
"185";"KIRC"
"186";"BRCA"
"187";"KIRC"
"188";"PRAD"
"189";"BRCA"
"190";"PRAD"
"191";"BRCA"
"192";"LUAD"
"193";"BRCA"
"194";"LUAD"
"195";"PRAD"
"196";"BRCA"
"197";"BRCA"
"198";"BRCA"
"199";"BRCA"
"200";"BRCA"
"201";"BRCA"
